vintage_id,vintage_type,origin_date,issued_at_utc,forecast_date,horizon_day,target,model,model_version,forecast_version,forecast,lower_bound,upper_bound
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-02,1,net_revenue_usd,driver_regression,1.0.0,1.0.0,9683.76,9413.28,9954.23
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-03,2,net_revenue_usd,driver_regression,1.0.0,1.0.0,10053.94,9782.94,10324.94
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-04,3,net_revenue_usd,driver_regression,1.0.0,1.0.0,9202.09,8930.56,9473.61
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-05,4,net_revenue_usd,driver_regression,1.0.0,1.0.0,8493.56,8221.52,8765.61
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-06,5,net_revenue_usd,driver_regression,1.0.0,1.0.0,8755.92,8483.35,9028.48
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-07,6,net_revenue_usd,driver_regression,1.0.0,1.0.0,9195.9,8922.81,9468.99
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-08,7,net_revenue_usd,driver_regression,1.0.0,1.0.0,9147.95,8874.34,9421.56
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-09,8,net_revenue_usd,driver_regression,1.0.0,1.0.0,9591.32,9317.19,9865.44
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-10,9,net_revenue_usd,driver_regression,1.0.0,1.0.0,10032.36,9757.71,10307.01
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-11,10,net_revenue_usd,driver_regression,1.0.0,1.0.0,8685.25,8410.09,8960.42
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-12,11,net_revenue_usd,driver_regression,1.0.0,1.0.0,8331.08,8055.39,8606.76
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-13,12,net_revenue_usd,driver_regression,1.0.0,1.0.0,8681.8,8405.6,8958.0
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-14,13,net_revenue_usd,driver_regression,1.0.0,1.0.0,10052.88,9776.17,10329.59
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-15,14,net_revenue_usd,driver_regression,1.0.0,1.0.0,10208.61,9931.38,10485.84
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-16,15,net_revenue_usd,driver_regression,1.0.0,1.0.0,10372.46,10094.72,10650.2
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-17,16,net_revenue_usd,driver_regression,1.0.0,1.0.0,9906.24,9628.0,10184.49
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-18,17,net_revenue_usd,driver_regression,1.0.0,1.0.0,8850.23,8571.47,9128.99
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-19,18,net_revenue_usd,driver_regression,1.0.0,1.0.0,8237.81,7958.54,8517.08
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-20,19,net_revenue_usd,driver_regression,1.0.0,1.0.0,8754.73,8474.95,9034.51
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-21,20,net_revenue_usd,driver_regression,1.0.0,1.0.0,8843.17,8562.88,9123.46
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-22,21,net_revenue_usd,driver_regression,1.0.0,1.0.0,9005.81,8725.02,9286.6
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-23,22,net_revenue_usd,driver_regression,1.0.0,1.0.0,9290.85,9009.55,9572.15
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-24,23,net_revenue_usd,driver_regression,1.0.0,1.0.0,9725.15,9443.34,10006.95
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-25,24,net_revenue_usd,driver_regression,1.0.0,1.0.0,8661.91,8379.6,8944.22
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-26,25,net_revenue_usd,driver_regression,1.0.0,1.0.0,8208.3,7925.48,8491.11
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-27,26,net_revenue_usd,driver_regression,1.0.0,1.0.0,8337.39,8054.07,8620.71
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-28,27,net_revenue_usd,driver_regression,1.0.0,1.0.0,8967.77,8683.95,9251.59
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-29,28,net_revenue_usd,driver_regression,1.0.0,1.0.0,8476.22,8191.9,8760.54
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-30,29,net_revenue_usd,driver_regression,1.0.0,1.0.0,9382.23,9097.41,9667.05
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-01-31,30,net_revenue_usd,driver_regression,1.0.0,1.0.0,9457.67,9172.35,9742.98
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-01,31,net_revenue_usd,driver_regression,1.0.0,1.0.0,8563.94,8278.12,8849.75
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-02,32,net_revenue_usd,driver_regression,1.0.0,1.0.0,8077.23,7790.92,8363.55
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-03,33,net_revenue_usd,driver_regression,1.0.0,1.0.0,8158.79,7871.98,8445.6
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-04,34,net_revenue_usd,driver_regression,1.0.0,1.0.0,8403.14,8115.83,8690.44
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-05,35,net_revenue_usd,driver_regression,1.0.0,1.0.0,8633.34,8345.54,8921.14
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-06,36,net_revenue_usd,driver_regression,1.0.0,1.0.0,9455.59,9167.3,9743.88
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-07,37,net_revenue_usd,driver_regression,1.0.0,1.0.0,9274.15,8985.36,9562.93
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-08,38,net_revenue_usd,driver_regression,1.0.0,1.0.0,8301.99,8012.72,8591.27
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-09,39,net_revenue_usd,driver_regression,1.0.0,1.0.0,8107.08,7817.31,8396.85
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-10,40,net_revenue_usd,driver_regression,1.0.0,1.0.0,8017.24,7726.99,8307.5
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-11,41,net_revenue_usd,driver_regression,1.0.0,1.0.0,8382.83,8092.09,8673.58
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-12,42,net_revenue_usd,driver_regression,1.0.0,1.0.0,8511.51,8220.28,8802.75
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-13,43,net_revenue_usd,driver_regression,1.0.0,1.0.0,8815.33,8523.61,9107.06
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-14,44,net_revenue_usd,driver_regression,1.0.0,1.0.0,10151.15,9858.94,10443.36
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-15,45,net_revenue_usd,driver_regression,1.0.0,1.0.0,9007.42,8714.72,9300.12
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-16,46,net_revenue_usd,driver_regression,1.0.0,1.0.0,8593.18,8299.99,8886.36
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-17,47,net_revenue_usd,driver_regression,1.0.0,1.0.0,8057.25,7763.58,8350.92
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-18,48,net_revenue_usd,driver_regression,1.0.0,1.0.0,8257.25,7963.1,8551.41
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-19,49,net_revenue_usd,driver_regression,1.0.0,1.0.0,8438.53,8143.9,8733.17
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-20,50,net_revenue_usd,driver_regression,1.0.0,1.0.0,8723.58,8428.46,9018.7
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-21,51,net_revenue_usd,driver_regression,1.0.0,1.0.0,9037.58,8741.98,9333.18
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-22,52,net_revenue_usd,driver_regression,1.0.0,1.0.0,8281.66,7985.57,8577.74
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-23,53,net_revenue_usd,driver_regression,1.0.0,1.0.0,7601.88,7305.32,7898.44
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-24,54,net_revenue_usd,driver_regression,1.0.0,1.0.0,7841.76,7544.72,8138.81
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-25,55,net_revenue_usd,driver_regression,1.0.0,1.0.0,8315.29,8017.77,8612.81
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-26,56,net_revenue_usd,driver_regression,1.0.0,1.0.0,8427.89,8129.89,8725.89
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-27,57,net_revenue_usd,driver_regression,1.0.0,1.0.0,8684.88,8386.41,8983.36
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-02-28,58,net_revenue_usd,driver_regression,1.0.0,1.0.0,9068.69,8769.73,9367.64
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-01,59,net_revenue_usd,driver_regression,1.0.0,1.0.0,8043.47,7744.05,8342.9
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-02,60,net_revenue_usd,driver_regression,1.0.0,1.0.0,7538.24,7238.34,7838.14
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-03,61,net_revenue_usd,driver_regression,1.0.0,1.0.0,7644.26,7343.89,7944.64
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-04,62,net_revenue_usd,driver_regression,1.0.0,1.0.0,8151.58,7850.73,8452.43
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-05,63,net_revenue_usd,driver_regression,1.0.0,1.0.0,7954.32,7653.0,8255.64
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-06,64,net_revenue_usd,driver_regression,1.0.0,1.0.0,8462.86,8161.06,8764.65
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-07,65,net_revenue_usd,driver_regression,1.0.0,1.0.0,8799.23,8496.96,9101.49
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-08,66,net_revenue_usd,driver_regression,1.0.0,1.0.0,7816.99,7514.26,8119.73
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-09,67,net_revenue_usd,driver_regression,1.0.0,1.0.0,7203.51,6900.31,7506.72
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-10,68,net_revenue_usd,driver_regression,1.0.0,1.0.0,7785.64,7481.97,8089.31
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-11,69,net_revenue_usd,driver_regression,1.0.0,1.0.0,7881.2,7577.06,8185.34
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-12,70,net_revenue_usd,driver_regression,1.0.0,1.0.0,8059.69,7755.09,8364.3
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-13,71,net_revenue_usd,driver_regression,1.0.0,1.0.0,8347.21,8042.14,8652.29
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-14,72,net_revenue_usd,driver_regression,1.0.0,1.0.0,9268.09,8962.55,9573.63
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-15,73,net_revenue_usd,driver_regression,1.0.0,1.0.0,8499.68,8193.68,8805.69
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-16,74,net_revenue_usd,driver_regression,1.0.0,1.0.0,8369.37,8062.9,8675.83
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-17,75,net_revenue_usd,driver_regression,1.0.0,1.0.0,7282.41,6975.48,7589.35
vintage-20260101-f1_0_0,historical_backtest,2026-01-01,2026-01-01T23:59:59Z,2026-03-18,76,net_revenue_usd,driver_regression,1.0.0,1.0.0,7617.8,7310.41,7925.2
